Ticker,Company Name,P/E (F2),PEG Ratio,Div. Yield %,Net Margin,Debt/Total Capital,Last Qtr EPS,Last Reported Qtr ,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),# of Analysts in Q0 Consensus,Q1 Consensus Est.,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),P/E (F1),P/E (Trailing 12 Months),F2 Consensus Est.,Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,% Change F1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,# of Analysts in Q2 Consensus,Market Cap 
SUM,"Summit Materials, Inc.",15.77,1.92,0,0.07,58.74499,0.46,20171201,0,-7.39,6.15,0.22,5,-0.55,4,0.62,20.14,25.91,1.92,NYSE,Construction,12,Building Products - Concrete and Aggregates,109.09,-12.05,19.27,20180502,3.2,-3.64,0,0.92,1.5,3,3345.16
SUN,Sunoco LP,9.72,,12.09,0.01,65.595,1.02,20170901,13.05,8.08,0.36,0.32,7,0.53,5,0.64,10.5,16.16,2.81,NYSE,Oils-Energy,12,Oil and Gas - Refining and Marketing - Master Limited Partnerships,191.43,-60,-34.7,20180503,0.39,-5.63,,0.75,2.6,5,2700.88
SUOPY,SUMCO CORP ADR,12.43,,0,,33.28099,0.43,20170901,,,,,,,,,15.24,51.71,4.66,OTC,Computer and Technology,12,Semiconductor - General,,,,20180404,0,0,,1.91,3.8,,8492.1
SUPN,"Supernus Pharmaceuticals, Inc.",16.14,,0,0.19,0,0.44,20171201,3.18,24.44,12.1,0.26,6,0.34,5,0.44,23.11,34.82,2.68,NSDQ,Medical,12,Medical - Generic Drugs,69.23,7.41,24.08,20180508,18.26,10.11,,1.07,1.87,5,2225.12
SUPV,Grupo Supervielle S.A.,11.59,0.55,0.16,0.11,38.858,0.53,20171201,0,2,0,0.51,2,0.51,2,0.52,13.44,16.67,2.66,NYSE,Finance,12,Banks - Foreign,3.92,9.3,10.97,20180509,4.08,5.14,6.86,1.75,2.3,1,2243.92
SURVF,Suntec Real Estate Investment Trust,,,0,,,,,,,,,,,,,,,,OTC,Finance,12,REIT and Equity Trust - Other,,,,,,,,,,,3858.59
SVCBY,Svenska Cellulosa AB,23.8,2.49,5.22,8.51,12.30599,0.1,20171201,,,,,,,,,26.89,32.35,0.44,OTC,Basic Materials,12,Paper and Related Products,,,,20180426,6.94,11.54,0,0.32,0.38,,6602.04
SVKEF,SKANDINAVISKA,12.42,,0,,,0.24,20170601,0,,,0.23,1,,,,12.29,13.24,0.96,OTC,Finance,12,Banks - Foreign,,,,20180320,0,0,,0.95,0.97,,25866.63
SVNDY,Seven and I Holdings Co.,16.1,,0.68,,21.649,0.17,20170501,,,,,,,,,16.61,17.59,1.3,OTC,Retail-Wholesale,2,Retail - Miscellaneous,,,,20180405,0,0,,1.24,1.26,,37106.46
SWCH,"Switch, Inc.",47.27,4.16,0.09,,83.829,0.08,20170901,-0.69,0,0,-0.22,5,0.05,2,0.05,62.4,,0.33,NYSE,Business Services,12,Technology Services,14.29,,,20180329,3.31,0,0,0.02,0.25,2,3939.08
SWDBY,Swedbank AB,11.84,,4.71,0.37,87.953,0.52,20171201,0,,,0.5,1,,,,12.18,4,2.17,OTC,Finance,12,Banks - Foreign,,,,20180424,0,0,,2.01,2.11,,28609.13
SWGAY,Swatch Group AG,,,0.95,,0.25931,,,,,,,,,,,,,,OTC,Consumer Staples,12,Consumer Products - Staples,,,,20180322,,,,,,,12829.44
SWK,"Stanley Black & Decker, Inc.",16.7,1.84,1.6,0.1,25.51399,2.18,20171201,0.21,-1.89,0.4,2.14,9,1.35,9,2.12,18.74,21.24,9.45,NYSE,Industrial Products,12,Manufacturing - Tools & Related Products,1.87,4.28,4.28,20180420,0.21,0.57,0,7.4,8.42,9,24320.34
SWKS,"Skyworks Solutions, Inc.",13.7,1.01,1.15,0.28,0,2,20171201,-0.17,-0.32,-0.51,1.9,12,1.6,11,1.67,15.34,16.27,8.12,NSDQ,Computer and Technology,9,Semiconductors - Radio Frequency,4.71,4,4.06,20180426,0.08,0.36,0,6.38,7.26,9,20308.51
SWM,"Schweitzer-Mauduit International, Inc.",10.71,2.33,4.38,0.04,55.401,0.64,20171201,,-6.58,-1.09,0.61,1,0.71,1,0.91,11.63,12.36,3.67,NYSE,Consumer Staples,12,Tobacco,4.92,19.05,,20180502,0,0.55,0,3.15,3.38,1,1209.62
