Company Name,Ticker,% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Debt/Total Capital,Market Cap 
"COCA-COLA HBC","CCHGY","0","1.48","1.69","1.85","","20.98","19.17","2.62","1.33",".07","2.21","3.68","OTC","Consumer Staples","12","Beverages - Soft drinks","","","","","34.36899","13040.52"
"Crown Castle International Corporation","CCI","0","4.65","5.54","6.02","23.01","20.11","18.51","1.3","3.77",".1","0",".08","NYSE","Finance","12","REIT and Equity Trust - Other","17.92","-1.71","5.34","20180423","56.527","45325.39"
"Cameco Corporation","CCJ","0",".04",".59",".13","71.23","15.69","71.23",".51","3.47","-.1","0","0","NYSE","Basic Materials","12","Mining - Miscellaneous","24.14","-200","-37.15","20180427","23.52","3665.04"
"Crown Holdings, Inc.","CCK","0","4.03","4.41","4.79","12.68","11.61","10.7","1.66","0",".04","0","0","NYSE","Industrial Products","12","Containers - Metal and Glass","0","0","1.17","20180418","84.967","6882.01"
"Carnival Corporation","CCL","0","3.7","4.28","4.88","17.63","15.73","13.79","1.13","1.19",".15",".46",".35","NYSE","Consumer Discretionary","11","Leisure and Recreation Services","26","4.09","12.32","20180327","22.40699","35981.8"
"Coca-Cola Amatil Ltd.","CCLAY","0",".42",".42",".43","","17.12","16.72","1.71","4.01","","","5","OTC","Consumer Staples","12","Beverages - Soft drinks","","","","","52.165","5336.25"
"Cabot Microelectronics Corporation","CCMP","","3.37","4.71","5.43","29.36","23.88","20.71","",".71",".17","0","0","NSDQ","Computer and Technology","9","Electronics - Semiconductors","16.67","22.99","","20180426","17.12299","2879.74"
"Clear Channel Outdoor Holdings, Inc.","CCO","0","-.23","-.13","-.07","250","","","","0","","0","18.75","NYSE","Business Services","12","Advertising and Marketing","-183.33","0","80.83","20180315","","1819.92"
"Capcom Co., Ltd.","CCOEY","0",".66",".73",".79","24.26","29.25","27.02","5.85",".4",".1","0","0","OTC","Consumer Discretionary","3","Gaming","","","","20180314","7.89279","2891.77"
"China State Construction International Holdings Ltd.","CCOHY","","","","","","","","","3.11","","","","OTC","Construction","12","Building Products - Home Builders","","","","20180320","44.179","7015.54"
"Cogent Communications Holdings, Inc.","CCOI","0",".38",".75","1.11","120.39","61.33","41.38","6.13","4.37",".01","5.63","5.52","NSDQ","Computer and Technology","12","Wireless National","-8.33","-42.86","-16.97","20180503","","2103.05"
"China Coal Energy Co.","CCOZY","","1.02",".94",".88","11.55","10.07","10.82","3.36",".92","","","213.33","OTC","Oils-Energy","12","Coal","","","","20180328","39.394","1944.5"
"Corporate Capital Trust, Inc.","CCT","","1.55","1.66","1.64","","10.04","10.19","","0","","","-4.86","NYSE","Finance","12","Financial - SBIC & Commercial Industry","","","","","18.663","2125.62"
"Compania Cervecerias Unidas, S.A.","CCU","","1.4",".99","","29.47","29.17","","","1.19","","","0","NYSE","Consumer Staples","12","Beverages - Alcohol","6.67","","","20180319","11.81499","5335.61"
"Coeur Mining, Inc.","CDE","","-.03",".12",".63","117.57","68.58","13.06","","0","0","-16","-35.71","NYSE","Basic Materials","12","Mining - Non Ferrous","60","-433.33","-118.33","20180425","31.832","1526.19"
"CENTENNIAL RES","CDEV","-6.06",".28",".67","1.07","64.54","26.91","16.95",".61","0",".18","-17.2","-10.82","NSDQ","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","10","20","128.33","20180509","11.51099","4987.84"
"City Developments Ltd.","CDEVY","0",".55",".49",".52","23.22","20.85","19.64","6.95",".72",".18","-16.13","-19.67","OTC","Finance","12","Real Estate - Operations","","","","20180510","22.849","9288.51"
"CDK Global, Inc.","CDK","0","2.43","3.26","4.1","25.74","21.73","17.28","1.45",".85",".13","0","0","NSDQ","Computer and Technology","6","Computers - IT Services","24.29","3.03","11.31","20180501","99.665","9525.4"
"Cadence Design Systems, Inc.","CDNS","0","1.4","1.57","1.71","28.36","25.37","23.28","2.11","0",".11","0","0","NSDQ","Computer and Technology","12","Computer - Software","0","2.94","1.49","20180423","39.44499","11229.9"
"CDW Corporation","CDW","","3.84","4.76","5.27","19.56","15.83","14.29","","1.12",".03","-.28",".06","NSDQ","Computer and Technology","12","Computers - IT Services","1.02",".93",".49","20180502","76.55799","11480.53"
"Celanese Corporation","CE","0","7.39","8.56","9.26","14.33","12.58","11.62","1.41","1.71",".14",".83",".91","NYSE","Basic Materials","12","Chemical - Diversified ","6.45",".52","3.92","20180416","50.12099","14615.27"
"China Eastern Airlines Corporation Ltd.","CEA","0","4.2","2.37","","14.75","17.93","","2.72",".76","","","","NYSE","Transportation","12","Transportation - Airline","","","","20180426","30.60799","12294.57"
"Celgene Corporation","CELG","-.15","7.37","8.42","10.09","12.45","10.97","9.15",".59","0",".23","-1.42","-.36","NSDQ","Medical","12","Medical - Biomedical and Genetics","2.56","1.6","2.99","20180426","69.58999","69410.77"
"CENTAMIN PLC","CELTF","",".1",".14",".12","17.01","14.58","17.01","","2.45","","0","0","OTC","Basic Materials","12","Mining - Miscellaneous","","","","20180314","0","2352.03"
"Central Garden & Pet Company","CENT","0","1.51","1.89","2.14","26.47","21.85","19.25","2.18","0",".04","0","0","NSDQ","Consumer Discretionary","9","Consumer Products - Discretionary","26.67","-20","8.84","20180502","51.07199","2142.21"
"Central Garden & Pet Company","CENTA","","","1.85","","24.74","20.86","","","0",".04","","0","NSDQ","Consumer Discretionary","9","Consumer Products - Discretionary","","","","20180502","51.07199","2002.13"
"Century Aluminum Company","CENX","",".33","1.17","2.02","56.24","17.74","10.3","","0",".03","1.51","-8.33","NSDQ","Industrial Products","12","Metal Products - Procurement and Fabrication","13.04","-34.78","-12.91","20180424","23.024","1822.18"
"CNOOC Limited","CEO","0","11.13","16.47","14.45","","8.86","10.09","1.11","3.37","","1.87","2.58","NYSE","Oils-Energy","12","Oil and Gas - Integrated - Emerging Markets","","","","20180322","24.16099","65131.78"
"Central Puerto SA","CEPU","","1.59","5.53","1.43","","3.15","12.2",".07","0","","","","NYSE","Oils-Energy","12","Alternative Energy - Other","","","","20180312","","2640.45"
"Crestwood Equity Partners LP","CEQP","66.67","-1.61","-.14",".16","","","179.35","","8.63","-.05","208.14","44.66","NYSE","Oils-Energy","12","Oil and Gas - Production Pipeline - MLB","50","-928.57","-376.31","20180501","40.615","1980.24"
"Cerner Corporation","CERN","-3.55","2.42","2.64","2.98","27.05","24.44","21.71","1.72","0",".17","-.11",".02","NSDQ","Medical","12","Medical Info Systems","-4.92","-1.61","-1.2","20180426","9.7186","21499.09"
"CF Industries Holdings, Inc.","CF","0","-.34",".93","1.55","","44.83","26.99","5.6","2.87",".09","84.69","263.33","NYSE","Basic Materials","12","Fertilizers","81.82","29.09","72.87","20180502","41.24499","9770.27"
"Capitol Federal Financial, Inc.","CFFN","",".63",".63",".7","20.62","20.62","18.56","","2.62",".25","0","0","NSDQ","Finance","9","Financial - Savings and Loan","0","-6.25","-1.56","20180426","62.73899","1795.68"
"Citizens Financial Group, Inc.","CFG","0","2.58","3.36","3.75","17.55","13.73","12.3",".77","1.91",".26","-.19","0","NYSE","Finance","12","Financial - Savings and Loan","5.97","6.25","9.65","20180419","36.72499","22490.05"
"Cullen/Frost Bankers, Inc.","CFR","0","5.38","6.3","6.83","20.31","17.57","16.21","1.85","2.06",".3",".05","-.02","NYSE","Finance","12","Banks - Southwest","5.76","7.63","4.58","20180425","6.6447","7047.7"
"Compagnie Financiere Richemont AG","CFRUY","",".22","","","","","","","1.19","","","","OTC","Retail-Wholesale","12","Retail - Jewelry","","","","","","46405.8"
"Colfax Corporation","CFX","0","1.75","2.12","2.36","20.3","15.77","14.18","1.17","0",".05","0","0","NYSE","Industrial Products","12","Manufacturing - General Industrial ","2.27","0","4.74","20180504","22.06599","4131.49"
"The Carlyle Group L.P.","CG","","3.06","2.69","3.14","6.73","8.69","7.44","","5.65",".07","6.98",".25","NSDQ","Finance","12","Financial - Investment Management","68.33","16.67","88.98","20180502","66.58899","2346.06"
"TCG BDC, Inc.","CGBD","0","1.7","1.61","1.67","10.05","11.05","10.67","5.53","8.32",".51","-3.1","-.21","NSDQ","Finance","12","Financial - Miscellaneous Services","7.5","0","","20180509","42.52099","1113.1"
"Cap Gemini SA","CGEMY","","","","","","","","",".94",".06","","","OTC","Business Services","12","Outsourcing","","","","","32.38999","21976.76"
"Cognex Corporation","CGNX","","1.39","1.4","1.8","21.83","40.27","31.28","",".32",".24","-1.19","-3.34","NSDQ","Computer and Technology","12","Electronics - Testing Equipment","20","8.57","31.32","20180507","0","9772.66"
"China Telecom Corp Ltd","CHA","0","3.74","3.96","4.29","","10.98","10.15","1.39","2.78","","0","8.33","NYSE","Utilities","12","Wireline Non-US","","","","20180320","2.74149","35245.89"
"Chiba Bank Ltd.","CHBAY","","","","","12.65","","","",".57",".22","","","OTC","Finance","3","Banks - Foreign","","","","20180319","30.933","6509.16"
"CHINA CITIC BNK","CHCJY","","","","","","","","","4.03","","","","OTC","Finance","12","Banks - Foreign","","","","20180313","52.77","9442.73"
