Company Name,Ticker,% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Debt/Total Capital,Market Cap 
"Alstom ADR","ALSMY","",".12",".22",".23","","18.68","17.87","",".47",".04","0","0","OTC","Transportation","3","Transportation - Rail","","","","","28.802","9130.16"
"Allison Transmission Holdings, Inc.","ALSN","0","2.49","3.44","3.65","14.17","11.15","10.53","1.12","1.56",".22","23.78","24.92","NYSE","Auto-Tires-Trucks","12","Automotive - Original Equipment","37.29","56.25","44.04","20180425","78.622","5379.96"
"Altair Engineering Inc.","ALTR","",".22",".35",".52","","86.86","57.53","","0","","0","0","NSDQ","Construction","12","Engineering - R and D Services","-275","","","20180321","","1893.95"
"Autoliv, Inc.","ALV","0","6.25","7.36","8.81","22.75","20.35","17.01","2.22","1.6",".04",".2","-.05","NYSE","Auto-Tires-Trucks","12","Automotive - Original Equipment","16.67","10.53","8.26","20180427","24.06999","13036.36"
"Alexander's, Inc.","ALX","","","","","16.6","","","","4.83",".35","","","NYSE","Finance","12","REIT and Equity Trust - Other","","","","20180507","78.288","1904.5"
"Alexion Pharmaceuticals, Inc.","ALXN","0","5.67","6.88","8.37","21.69","18.47","15.18","1.05","0",".12",".23","0","NSDQ","Medical","12","Medical - Biomedical and Genetics","15.63","8.27","15.2","20180426","25.62199","28171.27"
"Antero Midstream Partners LP","AM","","1.43","1.74","2.11","19.52","15.78","13.04","","5.31",".4","-10.44","-2.95","NYSE","Oils-Energy","12","Oil and Gas - Production and Pipelines","0","-19.51","-6.1","20180514","44.09299","5144.44"
"Amadeus IT Group SA","AMADY","","","","","26.58","","","","1.16",".21","","","OTC","Computer and Technology","12","Computers - IT Services","","","","20180504","","33482.2"
"Applied Materials, Inc.","AMAT","-5.26","3.22","4.39","4.55","16.75","13.88","13.39","1.16",".66",".24","4.14","7.63","NSDQ","Computer and Technology","10","Semiconductor Equipment - Wafer Fabrication","9.28","2.2","4.76","20180517","38.41099","64060.39"
"Ambarella, Inc.","AMBA","0","1.98","1.43","2.02","26.57","38.54","27.27","2.61","0",".06","-5.1","-9.51","NSDQ","Computer and Technology","1","Electronics - Semiconductors","21.62","13.64","12.57","20180605","0","1831.86"
"AMC Entertainment Holdings, Inc.","AMC","","-1.33",".17",".59","","90.72","26.41","9.07","5.11","-.1","-7.9","-42.02","NYSE","Consumer Discretionary","12","Leisure and Recreation Services","11.11","10.81","120.73","20180514","69.428","1999.8"
"Amcor Ltd.","AMCRY","","","","","","","","","3.93",".07","","","OTC","Industrial Products","6","Containers - Paper and Packaging","","","","","0","13060.92"
"AMC Networks Inc.","AMCX","-3.59","7.08","8.02","8.76","7.14","6.54","5.98",".89","0",".17","10.04","11.71","NSDQ","Consumer Discretionary","12","Broadcast Radio and Television","12.75","46.09","24.29","20180503","95.327","3180.67"
"Advanced Micro Devices, Inc.","AMD","0",".13",".38",".52","72","30.48","22.01","3.93","0",".01","-1.88","-1","NSDQ","Computer and Technology","12","Electronics - Semiconductors","60","25","38.75","20180507","68.44","11164.4"
"Amada Co.","AMDLY","","","","","22.78","","","","1.85",".09","","","OTC","Industrial Products","3","Manufacturing - Tools & Related Products","","","","20180316",".77741","5727.51"
"AMETEK, Inc.","AME","0","2.58","3.04","3.33","30.02","25.75","23.54","2.24",".46",".16","0","0","NYSE","Computer and Technology","12","Electronics - Testing Equipment","4.48","6.45","5.26","20180501","31.663","18125.06"
"Amedisys Inc.","AMED","5.09","2.23","3.01","3.33","27.87","20.44","18.48","1.05","0",".02","18.75","13.31","NSDQ","Medical","12","Medical - Outpatient and Home Healthcare","-5.08","3.7","9.31","20180501","13.151","2093.12"
"Affiliated Managers Group, Inc.","AMG","0","14.52","17.55","19.35","13.31","11.1","10.06",".7",".62",".3","0","-.17","NYSE","Finance","12","Financial - Investment Management","2.86","1.49","2.1","20180507","28.86199","10612.05"
"Amgen Inc.","AMGN","-3.08","12.69","13.24","13.82","15.05","14.29","13.69","2.32","2.79",".09",".75",".28","NSDQ","Medical","12","Medical - Biomedical and Genetics","-4.93","5.83","2.93","20180425","57.52899","136402.42"
"ANTERO MIDSTR","AMGP","",".21",".54",".89","","33.86","20.53","","1.63",".03",".83",".74","NYSE","Oils-Energy","12","Oil and Gas - Production Pipeline - MLB","-62.5","-66.67","","20180508","0","3416.58"
"American Homes 4 Rent","AMH","-1.6","1.02","1.16","1.34","19.16","16.97","14.76","1.49","1.01",".08","0","-.47","NYSE","Finance","12","REIT and Equity Trust - Residential","0","0","0","20180503","28.70199","5657.75"
"A P MOLLAR-MRSK","AMKBY","",".3",".45",".95","194.75","17.31","8.2","",".89","-.04","0","0","OTC","Transportation","12","Transportation - Shipping","","","","20180510","29.357","15674.24"
"Amkor Technology, Inc.","AMKR","",".51",".78",".95","20.19","14.76","12.12","","0",".06","-5","-11.36","NSDQ","Computer and Technology","12","Electronics - Semiconductors","26.32","21.05","10.33","20180426","42.32099","2755.19"
"AMN Healthcare Services Inc","AMN","","2.57","3.24","3.55","23.36","18.43","16.84","","0",".07","10.82","13.26","NYSE","Medical","12","Medical Services","0","5","4.99","20180503","36.248","2849.97"
"AMERIPRISE FINANCIAL SERVICES, INC.","AMP","","12.1","14.43","15.79","13.01","11.08","10.13","","2.08",".12","0","0","NYSE","Finance","12","Financial - Investment Management","5.5","23.43","10.73","20180423","45.949","23395.59"
"Silver Run Acquisition Corporation II","AMR","","",".72","1.38","","11.75","6.13","","0","","","","NSDQ","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","","","","20180319","0","1094.51"
"Amarin Corporation PLC","AMRN","","-.22","-.33",".11","","","33.36","","0","-.37","-48.44","-627.78","NSDQ","Medical","12","Medical - Biomedical and Genetics","-60","20","-9.41","20180502","","1072.81"
"AMERISAFE, Inc.","AMSF","","3.22","3.22","3.17","18.38","17.66","17.94","","1.55",".12","-8.92","-9.3","NSDQ","Finance","12","Insurance - Accident and Health","-16.87","12.99","-2.78","20180425","0","1093.17"
"American Tower Corporation (REIT)","AMT","-12.57","6.77","7.4","7.82","22.05","19.59","18.56","1.56","1.93",".19","-9.53","-2.8","NYSE","Finance","12","REIT and Equity Trust - Other","-5.36","3.59",".96","20180426","73.997","63958.66"
"TD Ameritrade Holding Corporation","AMTD","0","1.71","3.04","3.77","29.42","20.59","16.64","1.03","1.34",".24","1.42",".95","NSDQ","Finance","9","Financial - Investment Bank","56.86","6.52","17.07","20180418","26.121","35551.36"
"American Woodmark Corporation","AMWD","","4.28","5.16","8.15","25.23","21.66","13.71","","0",".07","28.96","4.03","NSDQ","Consumer Discretionary","4","Furniture","-4.55","-.81","-.65","20180529","61.04199","1956"
"America Movil, S.A.B. de C.V.","AMX","0",".92","1.09","1.42","29.46","17.51","13.49",".31",".89",".03","0","0","NYSE","Computer and Technology","12","Wireless Non-US ","-214.29","","","20180425","70.40399","63265.51"
"Amazon.com, Inc.","AMZN","0","4.25","8.49","15.45","350.52","188.21","103.48","7.03","0",".02","0","0","NSDQ","Retail-Wholesale","12","Internet - Commerce","16.76","5100","1272.26","20180426","47.173","773792.13"
"AutoNation, Inc.","AN","0","3.75","4.92","5.27","12.97","10.37","9.66","1.21","0",".02","1.78","2.71","NYSE","Retail-Wholesale","12","Automotive - Retail and Whole Sales","10.87","28.57","8.45","20180424","45.263","4680.31"
"AnaptysBio, Inc.","ANAB","","-1.69","-2.3","-3.39","","","","","0","-3.01","-30.53","5.51","NSDQ","Medical","12","Medical - Biomedical and Genetics","26.83","2.17","-25.14","20180510","2.3958","2697.66"
"American National Insurance Company","ANAT","","","","","18","","","","2.83",".14","","","NSDQ","Finance","12","Insurance - Multi line","","","","20180423","0","3122.21"
"The Andersons, Inc.","ANDE","",".89","1.78","","28.07","20.76","","","1.78",".01","","9.85","NSDQ","Basic Materials","12","Agriculture - Products","63.16","-43.75",".62","20180502","33.70299","1044.81"
"Tesoro Corporation","ANDV","0","6.6","9.98","11.72","18.02","10.02","8.53","1","2.36",".04","2.94","-4.42","NYSE","Oils-Energy","12","Oil and Gas - Refining and Marketing","-67.26","-10.89","-1.24","20180514","36.37099","15374.91"
"Tesoro Logistics LP","ANDX","-20","2.78","2.89","3.46","18.56","16.44","13.71","4.11","8.42",".12","-.53","-9.69","NYSE","Oils-Energy","12","Oil and Gas - Integrated - United States","-28.77","34.33","-3.37","20180514","54.011","10319.63"
"Arista Networks, Inc.","ANET","-2.66","5.33","6.89","8.28","53.11","43.17","35.93","1.88","0",".26","14.15","10.15","NYSE","Computer and Technology","12","Communication - Components","17.93","33.88","25.25","20180503","2.21639","21970.54"
"Abercrombie & Fitch Company","ANF","0",".39",".65",".71","27.35","33.53","30.63","2.4","3.66","0","19.05","39.57","NYSE","Retail-Wholesale","1","Retail - Apparel and Shoes","22.12","25","25.01","20180524","19.34099","1490.07"
"Angang Steel Co.","ANGGY","","3.67","3.48","3.67","","11.66","11.06","",".82","","0","0","OTC","Basic Materials","12","Steel - Producers","","","","20180419","","1101.82"
"ACERINOX SA ADR","ANIOY","",".47",".49",".6","11.75","15.27","12.44","","2.45","",".85","1.04","OTC","Basic Materials","12","Steel - Producers","","","","20180313","","4088.56"
"Anta Sports Products Ltd.","ANPDF","25.44",".18",".22",".27","","21.45","17.48","1.01","0",".18","","10","OTC","Consumer Discretionary","12","Shoes and Retail Apparel ","","","","20180522","","12671.17"
"ANSYS, Inc.","ANSS","","3.97","4.67","5.1","42.49","36.37","33.31","","0",".24","12.62","9.99","NSDQ","Computer and Technology","12","Computer - Software","2.88","8.25","6.47","20180502","0","14253.1"
"Anthem, Inc.","ANTM","0","11.97","15.09","16.61","19.17","15.23","13.84","1.32","1.31",".04","0","0","NYSE","Medical","12","Medical - HMOs","3.2","9.96","9.6","20180425","39.608","58780.24"
"Australia & New Zealand Banking Group Ltd.","ANZBY","1.37","1.86","1.89","1.91","","11.95","11.8","2.03","5.33",".19","-1.29","-1.31","OTC","Finance","9","Banks - Foreign","","","","","64.636","66131.7"
"AO Mosenergo","AOMOY","","","","","5.13","","","","4.58","","","","OTC","Utilities","12","Utility - Electric Power","","","","20180319","7.80959","1836.42"
"Aon PLC","AON","0","6.52","8","9.19","22.37","18.3","15.91","1.55",".98",".12",".04",".03","NYSE","Finance","12","Insurance - Brokerage",".43","1.57","3.82","20180508","54.93899","36018.67"
"Smith (A.O.) Corporation","AOS","0","2.13","2.57","2.88","30.54","25.82","22.97","1.94","1.09",".1","0","0","NYSE","Industrial Products","12","Manufacturing - Electronics","7.14","1.89","3.85","20180426","19.63699","11367.75"
"Apache Corporation","APA","0",".13","1.56","1.37","147.54","22.7","25.92","3.24","2.82",".2","6.39","16.5","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","57.14","180","","20180503","47.43799","13507.07"
"Artisan Partners Asset Management Inc.","APAM","0","2.42","3.17","3.59","15.15","10.82","9.55",".79","7.01",".06","-1.92","-1.66","NYSE","Finance","12","Financial - Investment Management","-2.94","3.17",".63","20180426","70.776","2637.04"
"Anadarko Petroleum Corporation","APC","0","-2.12","1.56","1.79","","37.72","32.95","3.77",".34","-.04","14.99","52.54","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","500","-37.5","43.79","20180501","52.99499","31406.09"
"Air Products and Chemicals, Inc.","APD","15.97","6.24","7.32","7.99","25.77","23.34","21.38","1.43","2.22",".37","0","0","NYSE","Basic Materials","9","Chemical - Diversified ","7.83","4.14","4.68","20180426","24.861","37412.35"
"Alps Electric","APELY","-9.31","2.99","5.22","5.6","","9.97","9.29",".9",".97",".05","3.13","5.24","OTC","Computer and Technology","3","Computer - Peripheral Equipment","","","","","","5157.87"
"Aperam","APEMY","","3.66","4.36","5.17","12.16","11.18","9.43","","2.75",".07","0","0","OTC","Basic Materials","12","Steel - Producers","","","","20180510","","4168.8"
"Amphenol Corporation","APH","0","3.21","3.47","3.77","28.42","26.69","24.57","2.71",".82",".09","0","0","NYSE","Computer and Technology","12","Electronics - Connectors","6.17","11.39","9.41","20180425","46.691","28306.13"
"Aphria Inc.","APHQF","","","","","","","","","0","","","","OTC","Medical","5","Medical - Products","","","","","","1827.54"
"Apple Hospitality REIT, Inc.","APLE","0","1.74","1.74","1.77","9.95","9.93","9.79","1.99","6.93",".15","-1.99","-1.41","NYSE","Finance","12","REIT and Equity Trust - Other","0","2.13","-.57","20180503","11.39","3984.84"
"Apellis Pharmaceuticals, Inc.","APLS","","-.72","-.99","-.72","","","","","0","","0","0","NSDQ","Medical","12","Medical - Biomedical and Genetics","","","","","0","1182.85"
"ASPEN PHARMACR","APNHY","0","1.21","1.46","1.65","","14.84","13.09","1.34",".68",".12","0","0","OTC","Medical","6","Medical - Generic Drugs","","","","","40.13899","9891.31"
"Apollo Global Management, LLC","APO","-2.02","3.01","3.09","3.3","9.4","10.85","10.17",".99","7.87",".24","-.35","-.37","NYSE","Finance","12","Financial - Investment Management","82.09","72.58","44.21","20180427","31.97999","6759.52"
"Apogee Enterprises, Inc.","APOG","0","2.58","3.75","4.1","16.38","12.4","11.35","1.24","1.35","","0","0","NSDQ","Industrial Products","2","Glass Products","-10.87","-16.67","-6.89","20180412","30.83799","1321.98"
"AppFolio, Inc.","APPF","",".41",".62",".92","103.63","66.86","45.05","","0",".07","-1.08","34.78","NSDQ","Computer and Technology","12","Internet - Software","33.33","85.71","221.43","20180504","0","1412.12"
"Appian Corporation","APPN","","-.39","-.63","-.5","","","","","0","-.18","-34.05","-36.64","NSDQ","Computer and Technology","12","Internet - Software","50","46.67","","20180524","0","1765.71"
"Apptio Inc.","APTI","0","-.27",".02",".24","","1638.33","121.86","131.07","0","-.14","-.82","0","NSDQ","Computer and Technology","12","Internet - Software","33.33","80","42.92","20180503",".02265","1256.72"
"Delphi Automotive PLC","APTV","0","4.79","5.14","5.6","14.65","17.79","16.32","1.43",".96",".11","-.88","-.15","NYSE","Business Services","12","Technology Services","-3.76","6.41","3.8","20180502","54.02","24311.05"
"AmeriGas Partners, L.P.","APU","",".92","2.58","2.89","28.65","16.32","14.55","","9.02",".07","-1.9","-2.46","NYSE","Oils-Energy","9","Oil and Gas - Refining and Marketing - Master Limited Partnerships","-24.41","-21.31","-35.34","20180507","76.51399","3915.18"
"Algonquin Power & Utilities Corp.","AQN","-53.33",".54",".56",".57","17.5","18.22","17.71","2.6","4.59",".1","8.11","-3.95","NYSE","Utilities","12","Utility - Electric Power","33.33","30","16.5","20180510","48.47499","4382.42"
"Antero Resources Corporation","AR","0",".28","1.37","1.73","65.19","15.28","12.07",".76","0",".17","-10.74","2.55","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","21.05","-200","-78.07","20180514","35.09799","6602.69"
"Arcadis NV","ARCAY","","","","","","","","","1.71",".02","","","OTC","Construction","12","Engineering - R and D Services","","","","","37.84","2045.33"
"Ares Capital Corporation","ARCC","0","1.38","1.56","1.62","11.39","10.2","9.83","3.4","9.54",".57","-4.07","-.14","NSDQ","Finance","12","Financial - SBIC & Commercial Industry","2.7","2.86","-2.78","20180502","40.61199","6795.21"
"Arch Coal Inc.","ARCH","","9.21","11.95","8.24","","7.8","11.31","","1.72",".1","26.99","12.77","NYSE","Basic Materials","12","Mining - Miscellaneous","77.59","50.3","","20180508","31.77599","1956.18"
"Arcos Dorados Holdings Inc.","ARCO","0",".43","","","25.13","","","","0","","","","NYSE","Retail-Wholesale","12","Retail - Restaurants","","","","20180321","59.18999","2015.74"
"Alexandria Real Estate Equities, Inc.","ARE","-8.61","6.02","6.56","6.95","20.93","19.2","18.15","3.12","2.86",".15",".46","0","NYSE","Finance","12","REIT and Equity Trust - Other","-.65",".67",".35","20180430","42.464","12759.14"
"Ares Management L.P.","ARES","-27.85","1.86","1.66","1.84","11.4","13.21","11.99","1.32","7.27",".05","-6.54","-8.42","NYSE","Finance","12","Financial - Investment Management","12.5","2.56","-2.01","20180514","34.06299","1820.69"
"Aggreko PLC","ARGKF","0",".78",".8",".88","","12.66","11.51","1.81","0","","-1.12","-1.84","OTC","Industrial Products","12","Industrial Services","","","","20180313","31.273","2594.58"
"ARGENX SE-ADR","ARGX","","-1.25","-2.44","-3.08","","","","","0","","-26.23","-12.29","NSDQ","Medical","12","Medical - Biomedical and Genetics","","","","","","2530.88"
"Apollo Commercial Real Estate Finance","ARI","","1.46","1.92","2.01","12.82","9.75","9.34","","9.83",".74","-4.52","-2.04","NYSE","Finance","12","REIT and Equity Trust","71.43","2.17","13.78","20180501","21.881","2011.79"
"Arkema SA","ARKAY","-39.1","9.1","11.44","12.26","15.35","11.79","11.01","1.48","1.42",".07","","10.43","OTC","Basic Materials","12","Chemical - Diversified ","","","","20180503","34.04499","10236.45"
"Alliance Resource Partners, L.P.","ARLP","","3.06","2.23","2.1","5.87","8.03","8.56","","11.36",".17","0","0","NSDQ","Oils-Energy","12","Coal","1.85","-1.89","13.52","20180507","29.118","2346.14"
